ZINC06524444; 0.578; Oc1cc(O)cc(c1)c1oc2c(O)cc(cc2c(=O)c1O)O
ZINC00153723; 0.578; CCOc1ccc(cc1)c1oc2ccccc2c(=O)c1O
ZINC21997122; 0.578; CC(=O)Oc1ccccc1c1oc2ccccc2c(=O)c1I
ZINC00940107; 0.575; COc1ccc(cc1)c1oc2ccccc2c(=O)c1OC(=O)C
ZINC01978855; 0.575; COC(=O)COc1c(oc2c(c1=O)cccc2)c1ccc(cc1Cl)Cl
ZINC36143096; 0.574; Nc1cccc(c1)c1cc(=O)c2c(o1)cccc2
ZINC00039299; 0.573; COc1cc(ccc1OC)c1oc2ccccc2c(=O)c1O
ZINC01791332; 0.570; NC(=O)COc1c(oc2c(c1=O)cccc2)c1ccc(cc1)C
ZINC01791350; 0.570; CCOC(=O)[C@@H](Oc1c(oc2c(c1=O)cccc2)c1ccc(cc1)Cl)C
ZINC21997119; 0.568; COc1ccccc1c1oc2ccccc2c(=O)c1I
ZINC00338222; 0.568; COc1cc2oc(cc(=O)c2c(c1C)O)c1ccccc1
ZINC12359336; 0.567; COc1ccccc1c1oc2c(OC)c(OC)ccc2c(=O)c1O
ZINC72194121; 0.565; COc1cc(ccc1OC)c1oc2c(C)cccc2c(=O)c1O
ZINC00898931; 0.565; COc1cc(OC)c2c(c1)oc(c(c2=O)OC)c1ccccc1
ZINC00039314; 0.563; COc1cccc(c1)c1cc(=O)c2c(o1)cccc2
ZINC01978493; 0.562; COc1c(oc2c(c1=O)cccc2)c1ccc(c(c1)Br)OC
ZINC05606363; 0.560; N#CCOc1c(oc2c(c1=O)cc(cc2)Cl)c1ccc(cc1)C
ZINC00057845; 0.559; Oc1cccc(c1)c1oc2cc(O)ccc2c(=O)c1O
ZINC00008662; 0.559; Oc1ccc2c(c1)c(=O)c(c(o2)c1ccc(c(c1)O)O)O
ZINC00057921; 0.559; COc1ccc(cc1)c1oc2ccc(cc2c(=O)c1O)OC
ZINC00057869; 0.559; COc1ccc(cc1)c1oc2ccc(cc2c(=O)c1O)C
ZINC01908954; 0.559; COc1ccc(cc1)c1oc2cc(C)ccc2c(=O)c1O
ZINC00115142; 0.559; CN(c1ccc(cc1)c1oc2ccccc2c(=O)c1O)C
ZINC04853121; 0.559; CN(c1ccc(cc1)c1oc2c(c(=O)c1O)ccc1c2cccc1)C
ZINC00632304; 0.557; COc1ccccc1c1cc(=O)c2c(o1)c(=O)c(Br)cc(c2)Br
ZINC01000112; 0.555; COc1c(OC)cccc1c1oc2ccccc2c(=O)c1OC(=O)C
ZINC00043094; 0.552; CCOc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1
ZINC00151692; 0.550; Cc1ccc(cc1)c1cc(=O)c2c(o1)ccc(c2)O
ZINC14757330; 0.546; COc1cc(O)c2c(c1OC)oc(c(c2=O)OC)c1ccccc1
ZINC12359395; 0.541; Oc1ccc(cc1)c1oc2c(O)c(O)ccc2c(=O)c1O
ZINC72194126; 0.541; Cc1ccc2c(c1)c(=O)c(c(o2)c1ccc(c(c1)O)O)O
ZINC01791330; 0.539; N#CCOc1c(oc2c(c1=O)cccc2)c1ccc(cc1)C
ZINC82292960; 0.538; Cc1cc(=O)c2c(o1)c1ccccc1c(c2)O
ZINC01978642; 0.538; COc1c(oc2c(c1=O)cccc2)c1ccc(c(c1)OC)OC
ZINC01791357; 0.536; N#CCOc1c(oc2c(c1=O)cccc2)c1ccc(cc1)OC
ZINC18136415; 0.536; COc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1
ZINC00151088; 0.536; CCOC(=O)Oc1c(oc2c(c1=O)cccc2)c1ccc(cc1)Cl
ZINC00518347; 0.534; O=c1c(N)c(oc2c1cccc2)c1ccccc1
ZINC29559153; 0.532; Brc1ccc2c(c1)c(=O)cc(o2)c1cccc(c1)O
ZINC00057656; 0.530; Oc1ccc(cc1)c1cc(=O)c2c(o1)ccc(c2)O
ZINC00057664; 0.530; COc1ccccc1c1cc(=O)c2c(o1)cccc2OC
ZINC11865628; 0.529; CC(Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1)C
ZINC00058127; 0.527; COc1c(OC)ccc2c1oc(cc2=O)c1ccccc1
ZINC00057679; 0.526; Oc1ccc(cc1)c1cc(=O)c2c(o1)cccc2
ZINC00039305; 0.526; Oc1ccc(cc1)c1cc(=O)c2c(o1)ccc1c2cccc1
ZINC00039304; 0.526; Oc1ccc(cc1)c1cc(=O)c2c(o1)c1ccccc1cc2
ZINC00057875; 0.523; Oc1ccc2c(c1)c(=O)c(c(o2)c1cccc(c1O)O)O
ZINC00115144; 0.523; Oc1c(oc2c(c1=O)cccc2)c1ccco1
ZINC31773438; 0.523; Cc1ccc2c(c1)oc(c(c2=O)O)c1ccc(cc1)C(=O)O
ZINC00115295; 0.523; Cc1ccc2c(c1)c(=O)c(c(o2)c1ccc(cc1)C(=O)O)O
